captured_at,openai_rank,domain,openai_tests,openai_score,recharge_claim,openai_multiplier_claim,pricing_url,veridrop_detail_url,official_description
2026-07-26T13:29:22+00:00,1,wawapi.top,807,100,一比一美刀充值,未披露,https://wawapii.com,https://veridrop.org/leaderboard/wawapi.top,"🎁 进群立送 5元福利！一比一美刀充值！倍率绝对真实！先领福利再体验！ 关于我们 我们将市面最强的图像生成、视频生成能力统一集成进同一个平台，让您的应用一个入口，接满AI 全能力。 核心优势 🧠 满血直连，绝无阉割 直连 Anthropic、OpenAI 官方原生 API，Claude / GPT 系列全系满血，承诺不降智、不混流、不套壳，百分百还原官方原生逻辑与最强上下文能力。 🎬 视频生成行业最强，Seedance 2.0 独家接入 集成市面最顶级视频生成模型，包括 Seedance 2.0、Veo、SD 2.0——从文字到视频，从图片到动态，一站生成，无需多平台跳转。 🖼️ 图像生成一站全搞定 image2 及主流图像生成模型全线接入，高质量出图，支持无限画布，创作者与开发者开箱即用，零额外配置。 🤖 多模型全覆盖，一个账号用尽主流 AI Claude、GPT、Grok……主流顶级模型统一管理，按需调用，无需在多个平台间反复注册与充值。 ⚡ 多节点高可用，永不掉线 自研高并发负载均衡架构，全天候多节点守护，突发批量调用轻松应对，每一次请求低延迟、高成功率返回。 💎 上帝级服务，7×24 实时响应 全天候客服与技术团队在线，遇到问题随时解决，拒绝""等待焦虑""，让您用得放心、用得顺手。 为什么选择我们？ 在 API 中转行业，稳定是底线，能力是上限。 我们做到了别人只提供文字中转，我们同时交付市面最强视频生成（Seedance 2.0）与图像生成——一个平台，满足从对话、创作到视频生产的全链路 AI 需求。 与其在多个平台间反复折腾账号与充值，不如一次接入，把所有能力握在手里。 立即注册，接入行业最全的 AI 能力通道！"
2026-07-26T13:29:22+00:00,2,hapiopen.cc,263,99,首充优惠码：HAPI 使用首充优惠码，充值金额立享9折,未披露,https://hapiopen.cc/model-market-content,https://veridrop.org/leaderboard/hapiopen.cc,专注 GPT 与 Claude 的 AI 中转服务，主打稳定、简单、实用，不堆砌花里胡哨的功能。 始终把稳定放在第一，新用户可进群找群主领测试额度。 首充优惠码：HAPI 使用首充优惠码，充值金额立享9折。 关于 HAPI 核心优势 🧠 专注主流模型 主要提供 GPT、Claude 等常用模型服务，适合编程、写作、分析、开发和日常使用。 ⚡ 稳定优先 持续维护可用渠道，关注请求成功率、响应速度和服务稳定性，减少频繁更换平台的麻烦。 💰 用多少算多少 按照实际模型用量计费，价格和使用记录清晰可查，方便控制成本。 🖼️ 支持 AI 生图 提供 AI 生图功能，可直接在网站内输入提示词生成图片，适合设计、创作和内容制作。 适合谁使用 需要调用 GPT 或 Claude 的个人用户 使用 Claude Code、CC Switch 等工具的开发者 需要统一管理多个模型 API 的团队 想要一个简单稳定的 AI API 接入服务的用户 HAPI 不追求复杂功能，只专注于把 GPT 和 Claude 稳定、方便地提供给需要的人。
2026-07-26T13:29:22+00:00,3,api.koozhan.com,62,99,未披露,OpenAI / Claude 限时 2 折，官方价 20%,https://koozhan.com/models.html,https://veridrop.org/leaderboard/api.koozhan.com,"OpenAI / Claude 限时 2 折，官方价 20%。 热门 GPT 与 Claude 模型按量计费，价格透明，原生协议直连。 支持龙虾Openclaw, 爱马仕Hermes Agent, claude code cli, codex desktop, codex cli 接入使用。 支持Anthropic最新最强模型：fable 5, sonnet 5, claude-opus-4-8，claude-opus-4-7，claude-sonnet-4-6。 支持OPENAI最新最强模型：gpt-5.6-sol，gpt-5.6-terra，gpt-5.6-luna，gpt-5.5, gpt-5.4。 直连官方 API，原生协议无损转发。所有报价均为「输入/输出 每百万 token」。"
2026-07-26T13:29:22+00:00,4,dragtokens.com,1413,99,自营正价GPT Pro号池，0.15倍率，1:1比例充值，无任何充值套路，承诺掺水赔偿一万，客服随时在线,自营正价GPT Pro号池，0.15倍率，1:1比例充值，无任何充值套路，承诺掺水赔偿一万，客服随时在线,https://dragtokens.com/pricing,https://veridrop.org/leaderboard/dragtokens.com,自营正价GPT Pro号池，0.15倍率，1:1比例充值，无任何充值套路，承诺掺水赔偿一万，客服随时在线。支持对公打款、开发票。
2026-07-26T13:29:22+00:00,5,api.999555999.com,167,99,未披露,未披露,https://www.999555999.com,https://veridrop.org/leaderboard/api.999555999.com,官方简介 透明 · 可靠 · 直达 ✅ 一口价，无隐形消费 ✅ 7×24 即时技术支持 ✅ 官方 API 直连，真实透传 我们让 AI 接入简单可信。
2026-07-26T13:29:22+00:00,6,code28.ccwu.cc,735,98,未披露,10元也可，100000元也可 🔥 AI模型资源稳定供应(可开发票，支持检验三方流水一致性) 可开发票 | 低倍率｜低延迟｜一手自建池 🚀 支持多平台热门模型 Claude：支持 fable-5 / sonnet-5 / claude-opus-4-8，倍率低至 0.25,https://code28.ccwu.cc/pricing,https://veridrop.org/leaderboard/code28.ccwu.cc,GPT-5.6 只要0.06 🎁首充福利 充1000送100，充10000送1000，返利10%，无上限也无下限，10元也可，100000元也可 🔥 AI模型资源稳定供应(可开发票，支持检验三方流水一致性) 可开发票 | 低倍率｜低延迟｜一手自建池 🚀 支持多平台热门模型 Claude：支持 fable-5 / sonnet-5 / claude-opus-4-8，倍率低至 0.25 起 CCMAX 满血版：官方直转，支持各平台检测，倍率低至 0.75 起 Codex：支持 GPT-5.6 / GPT-5.5 等模型，倍率低至 0.06 起 gpt-image-2：图片低至 0.09 / 张 Gemini：支持 3.5-flash / 3.1-pro，倍率低至 0.5 起 ⚡ 核心优势 首 Token 基本 5 秒以内 一手货源，自建资源池 通道稳定，长期可靠 多模型覆盖，选择灵活
2026-07-26T13:29:22+00:00,7,api.hohocode.ai,13,99,未披露,未披露,https://hohocode.ai/#pricing,https://veridrop.org/leaderboard/api.hohocode.ai,"HohoAI · 可验真的 Claude / GPT 中转 Claude 全线(Fable5 / Opus4.8 / Sonnet5 / Haiku)+ GPT-5.5 系列,一个 key 全通,Claude Code / Codex / Cursor 都能接。 签名验真、逐笔对账都公开可查,每个模型有 Veridrop 检测报告。关键模型官方通道兜底,号池抽风自动切。计费按官方口径,缓存价、用量都对得上账。 支付宝 / 微信 / 信用卡直付,LINUX DO 一键登录,验邮箱送 ¥10。客服微信 HohoCodeAI,一个工作日内回。"
2026-07-26T13:29:22+00:00,8,lucisapi.ai,62,98,未披露,未披露,https://www.lucisapi.ai/model-market,https://veridrop.org/leaderboard/lucisapi.ai,"Lucis API 一个重视模型品质、价格透明与长期售后服务的 AI API 中转站。 Lucis API 提供统一、稳定的 AI 模型调用服务，兼容 OpenAI API 格式。用户可通过统一的 /v1 接口接入 ChatGPT、Claude、Grok，以及 DeepSeek、通义千问、MiniMax、小米 Mimo、智谱 GLM、Kimi 等多类模型，适用于 AI 对话、编程助手、内容创作、图像生成和应用开发等场景。 核心特点 价格具有竞争力：ChatGPT 系列模型调用价格约为官方 API 价格的 4.5%；国产模型价格整体低于官方 API 调用价,约为官方调用价的20%。DeepSeek 等部分国产模型由第三方大型服务商独立部署，因此能够在保证模型能力的同时提供更低的调用成本。 坚持真实模型与透明计费：不使用低规格模型冒充高规格模型，不对模型能力“掺水”；模型价格、调用用量和扣费记录均可查询。 重视用户信息与调用隐私：不售卖用户信息，持续完善请求日志、账号安全与异常排查机制。 完善的售后服务：对于模型异常、线路波动、请求报错和计费疑问，可随时联系反馈。站点会持续跟进问题，并视实际影响提供公告说明或相应补偿。 支持开具发票：有开票需求的用户可联系站点客服处理。 新人体验余额：新用户注册后可获赠约 ￥2 等值体验余额，可直接用于测试模型和接口接入。 接入简单：支持 OpenAI-compatible API，可通过自定义 API Base URL 接入常见客户端、开发工具和自建应用。 LucisWorld Lucis API 不只提供模型接口，还设有特色模块 LucisWorld。这里会不定期上线有趣的 AI 工具、实验性功能、互动玩法和社区共创内容，让 API 站点不再只是冷冰冰的控制台。 站内也会不定期举办活动并发放体验额度、套餐福利及其他社区奖励。新的想法和玩法会优先在 LucisWorld 与社区中和大家见面。 社区与群聊 Lucis API 拥有活跃、友好的群聊生态。群友乐于交流模型使用经验、客户端配置、提示词和开发接入方案；遇到问题时，管理员和热心群友也会共同协助排查。 我们希望 Lucis API 不只是一个提供低价 API 的站点，也能成为一个有技术交流、有趣味内容、有长期服务的 AI 社区。 欢迎前来体验。对模型、价格、功能或使用体验有任何建议，都可以随时向我们反馈。 模型供应、价格及活动内容可能根据上游情况调整，实际信息以 Lucis API 站内模型广场和公告为准。"
2026-07-26T13:29:22+00:00,9,ai.furry.edu.gr,22,99,Deepseek v4pro/flash 0.3x 注册提供5元** 测试额度 充值后未使用的部分可随时退款,Claude 提供自建反代和上游Max号池 1.1x K 0.15x AWSQ 0.6x GPT 提供自建free+plus+team+上游Pro 混合池 ** 0.14x GPT 特惠 0.09x Deepseek v4pro/flash 0.3x 注册提供5元** 测试额度 充值后未使用的部分可随时退款,,https://veridrop.org/leaderboard/ai.furry.edu.gr,Claude 提供自建反代和上游Max号池 1.1x K 0.15x AWSQ 0.6x GPT 提供自建free+plus+team+上游Pro 混合池 ** 0.14x GPT 特惠 0.09x Deepseek v4pro/flash 0.3x 注册提供5元** 测试额度 充值后未使用的部分可随时退款
2026-07-26T13:29:22+00:00,10,juxingai888.com,12,99,未披露,无需境外信用卡，无需科学上网，一个 API Key 即可调用所有模型，价格低至1折，大幅降低您的 AI 开发成本与门槛,https://juxingai888.com/pricing,https://veridrop.org/leaderboard/juxingai888.com,聚星AI--聚合了 OpenAI、Anthropic、Google、字节跳动等厂商的 50 + 主流大模型，解决了国内开发者面临的支付困难、网络不稳定、接口不统一三大痛点。无需境外信用卡，无需科学上网，一个 API Key 即可调用所有模型，价格低至1折，大幅降低您的 AI 开发成本与门槛。
